LOCATION,Math,Reading,Science,Accumulated
AUS,504,512,521,1537
AUT,506,490,506,1502
BEL,515,509,505,1529
CAN,518,523,525,1566
CZE,499,493,508,1500
DNK,500,496,498,1494
FIN,519,524,545,1588
FRA,495,505,499,1499
DEU,514,508,524,1546
GRC,453,477,467,1397
HUN,477,488,494,1459
ISL,493,483,478,1454
IRL,501,523,522,1546
ITA,485,490,494,1469
JPN,536,538,547,1621
KOR,554,536,538,1628
LUX,490,488,491,1469
MEX,413,424,415,1252
NLD,523,511,522,1556
NZL,500,512,516,1528
NOR,489,504,495,1488
POL,518,518,526,1562
PRT,487,488,489,1464
SVK,482,463,471,1416
ESP,484,488,496,1468
SWE,478,483,485,1446
CHE,531,509,515,1555
TUR,448,475,463,1386
GBR,494,499,514,1507
USA,481,498,497,1476
BRA,389,407,402,1198
CHL,423,441,445,1309
EST,521,516,541,1578
IDN,375,396,382,1153
ISR,466,486,470,1422
LVA,491,489,502,1482
RUS,482,475,487,1444
SVN,501,481,514,1496
OAVG,494,496,501,1491
