LOCATION,Value
AUS,11022.751
BEL,13118.368
CAN,12779.667
CZE,8190.922
DNK,11216.24
FIN,10387.478
FRA,11815.494
DEU,11683.75
GRC,0
HUN,6103.809
ISL,10078.253
JPN,10738.621
KOR,10315.853
LUX,21595.267
MEX,3218.686
NLD,12446.04
NOR,15148.593
SVK,6453.187
SWE,11341.719
TUR,3267.732
GBR,12451.663
USA,12995.04
IND,0
IDN,0
ISR,6698.736
LVA,6628.678
RUS,4939.395
SVN,8785.286
AUT,15094.11
IRL,10665.142
ITA,8843.367
NZL,10266.728
POL,6455.112
PRT,8820.674
ESP,8528.339
CHE,0
BRA,0
CHL,4231.641
EST,7077.216
LTU,5205.257
ARG,4789.505
COL,2872.291
CRI,0
ZAF,0
