LOCATION,Value
AUS,59424.68852
AUT,52129.92076
CAN,65621.01754
CZE,19403.17004
DNK,60956.33703
FIN,47252.27551
FRA,37930.31862
DEU,78578.61275
GRC,25076.81485
HUN,21129.74555
IRL,58040.3172
ITA,37807.1108
JPN,50635.94007
KOR,48946.95194
LUX,113135.6243
MEX,53967.73313
NLD,69268.14173
NZL,46272.74758
NOR,52082.82122
POL,25374.84559
PRT,39128.60862
SVK,17930.07746
ESP,48336.4766
SWE,43270.68373
TUR,30408
USA,61327.48
CHL,28275.57682
COL,32686.02965
CRI,45441.90308
ISR,27036.28075
LVA,8871.661905
LTU,18368.51078
SVN,38953.91854
