id,name,Math,Reading,Science,Accumulated,Spendings,GDP,Salary
AUS,Australia,494,503,510,1507,11022.75,46763.88,59424.69
AUT,Austria,497,485,495,1477,15094.11,49959.26,52129.92
BEL,Belgium,507,499,502,1508,13118.37,45577.24,0
CAN,Canada,516,527,528,1571,12779.67,44627.32,65621.02
CZE,Czech Republic,492,487,493,1472,8190.922,33478.62,19403.17
DNK,Denmark,511,500,502,1513,11216.24,48687.54,60956.34
FIN,Finland,511,526,531,1568,10387.48,42059.12,47252.28
FRA,France,493,499,495,1487,11815.49,40489.19,37930.32
DEU,Germany,506,509,509,1524,11683.75,47810.63,78578.61
GRC,Greece,454,467,455,1376,0,26697.05,25076.81
HUN,Hungary,477,470,477,1424,6103.809,26157.46,21129.75
ISL,Iceland,488,482,473,1443,10078.25,47055.87,0
IRL,Ireland,504,521,503,1528,10665.14,69458.89,58040.32
ITA,Italy,490,485,481,1456,8843.367,36629.68,37807.11
JPN,Japan,532,516,538,1586,10738.62,40658.23,50635.94
KOR,South Korea,524,517,516,1557,10315.85,35203.7,48946.95
LUX,Luxembourg,486,481,483,1450,21595.27,102553.9,113135.6
MEX,Mexico,408,423,416,1247,3218.686,17604.72,53967.73
NLD,Netherlands,512,503,509,1524,12446.04,49550.87,69268.14
NZL,New Zealand,495,509,513,1517,10266.73,37205.58,46272.75
NOR,Norway,502,513,498,1513,15148.59,61713.19,52082.82
POL,Poland,504,506,501,1511,6455.112,26270.68,25374.85
PRT,Portugal,492,498,501,1491,8820.674,29532.33,39128.61
SVK,Slovakia,475,453,461,1389,6453.187,29529.98,17930.08
ESP,Spain,486,496,493,1475,8528.339,34846.38,48336.48
SWE,Sweden,494,500,493,1487,11341.72,47891.21,43270.68
CHE,Switzerland,521,492,506,1519,,63648.3,0
TUR,Turkey,420,428,425,1273,3267.732,25111.78,30408
GBR,United Kingdom,492,498,509,1499,12451.66,41591.89,0
USA,United States,470,497,496,1463,12995.04,56420.42,61327.48
BRA,Brazil,377,407,401,1185,0,15730.82,0
CHL,Chile,423,459,447,1329,4231.641,22293.51,28275.58
EST,Estonia,520,519,534,1573,7077.216,28734.99,0
IDN,Indonesia,386,397,403,1186,0,11164.24,0
ISR,Israel,470,479,467,1416,6698.736,35901.78,27036.28
LVA,Latvia,482,488,490,1460,6628.678,24545.77,8871.662
RUS,Russia,494,495,487,1476,4939.395,24709.72,0
SVN,Slovenia,510,505,513,1528,8785.286,31471.88,38953.92
