LOCATION,Value
AUS,10046.246
BEL,12323.031
CAN,12086.091
CZE,7542.964
DNK,10772.378
FIN,10087.324
FRA,11164.722
DEU,10627.662
GRC,0
HUN,4500.204
ISL,8617.868
JPN,10204.556
KOR,9788.908
LUX,20425.93
MEX,3033.853
NLD,12383.2
NOR,13176.561
SVK,5300.234
SWE,11395.138
TUR,2894.141
GBR,9990.927
USA,12618.911
IND,0
IDN,1015.051
ISR,6228.994
LVA,5151.617
RUS,5223.885
SVN,9995.592
AUT,14132.179
IRL,11398.927
ITA,0
NZL,9314.456
POL,6199.875
PRT,8636.29
ESP,9054.393
CHE,18145.609
BRA,0
CHL,4506.694
EST,7025.131
LTU,4638.43
ARG,4475.063
